File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test,2,132,1931,45263,2196,0.3011,41.0023,0.4016,0.1175
test,2,102,914,19415,987,0.0642,7.78,0.0925,0.0683
test,2,144,1481,32236,956,0.0841,21.034,0.1013,0.0837
test,2,124,355,15676,505,0.0237,5.0312,0.0368,0.0569
test,2,135,1902,30709,913,0.0677,19.4699,0.0946,0.0828
test,2,97,1950,16244,491,0.0279,5.6854,0.0378,0.0598
test,2,137,1590,43190,2166,0.2727,37.312,0.3941,0.1129
test,2,140,1226,27905,828,0.0572,15.6432,0.0822,0.0488
test,2,98,1923,23509,1194,0.1046,11.4814,0.1382,0.0789
test,2,146,914,28071,905,0.0581,15.3978,0.0886,0.0925
test,2,118,1587,22234,692,0.0584,10.4056,0.0601,0.0799
test,2,138,1689,29033,914,0.0684,17.0687,0.0927,0.0511
test,2,140,685,32298,1657,0.1963,25.5698,0.2312,0.2374
test,2,98,1146,13439,459,0.0292,4.5511,0.0755,0.0672
test,2,134,457,19420,597,0.032,9.8616,0.0536,0.0636
test,2,128,1992,43078,2065,0.2714,43.5823,0.4534,0.143
test,2,112,899,24305,1229,0.1179,13.1292,0.2685,0.0877
test,2,128,697,28534,1434,0.1194,18.8196,0.1703,0.0849
test,2,80,1820,10079,316,0.0158,2.7311,0.0201,0.0498
test,2,119,1417,20980,610,0.0376,10.1951,0.0503,0.0708
test,2,129,1102,34602,1753,0.2241,27.7573,0.2703,0.0781
test,2,144,994,38897,1946,0.2014,35.0331,0.3767,0.1289
test,2,141,897,38449,1889,0.2314,31.1074,0.3754,0.1344
test,2,134,1433,26907,825,0.0599,17.8098,0.0823,0.0853
test,2,128,1296,24634,773,0.0635,16.1257,0.0823,0.0974
test,2,127,553,18409,575,0.072,8.6,0.0821,0.0522
test,2,113,1260,18663,573,0.0315,10.7426,0.0437,0.0811
test,2,133,399,18887,583,0.0303,8.0295,0.0441,0.0618
test,2,101,1449,22804,1123,0.1107,12.4763,0.123,0.0966
test,2,137,1522,28417,843,0.0622,19.2926,0.0843,0.0516
test,2,133,1225,36207,1724,0.2213,29.1612,0.2967,0.0741
test,2,117,753,23016,1026,0.0917,12.6258,0.1003,0.0996
test,2,92,1564,20797,1028,0.0825,9.6605,0.1101,0.0882
test,2,95,1789,14721,408,0.0389,5.2708,0.0375,0.0788
test,2,81,718,11374,616,0.0269,3.3727,0.043,0.0527
test,2,143,509,22640,736,0.0399,11.9521,0.0778,0.0678
test,2,146,899,39400,1871,0.1984,35.828,0.2924,0.13
test,2,108,887,15367,504,0.0346,5.7654,0.0547,0.0586
test,2,116,1261,27920,1337,0.1146,17.2871,0.1703,0.1043
test,2,90,1268,16327,835,0.0511,6.0312,0.0721,0.0665
test,2,96,560,10191,320,0.0155,2.2811,0.0204,0.0591
test,2,118,1743,33957,1623,0.2707,28.4422,0.5903,0.1121
test,2,114,1549,27590,1325,0.1602,18.3577,0.3157,0.084
test,2,150,775,39651,1921,0.2061,32.8595,0.305,0.0739
test,2,140,417,20140,663,0.0512,8.092,0.0555,0.0847
test,2,94,1283,19572,959,0.161,10.8632,0.1222,0.1065
test,2,101,574,15613,812,0.0761,5.4045,0.0873,0.0607
test,2,111,1082,17517,529,0.0501,7.8877,0.05,0.0647
test,2,100,762,17714,855,0.049,6.9077,0.07,0.0662
test,2,142,1556,32520,1013,0.1027,24.1771,0.1223,0.1084
test,2,132,1911,43253,2081,0.2603,43.9647,0.3873,0.1324
test,2,117,1279,20535,668,0.0418,10.1311,0.0577,0.0678
test,2,131,1114,33850,1713,0.1725,23.8518,0.2601,0.0946
test,2,126,1291,33845,1589,0.1562,27.4186,0.2956,0.0954
test,2,136,1001,25097,773,0.0511,14.3006,0.075,0.0742
test,2,104,1769,17022,489,0.0371,7.9889,0.0381,0.0459
test,2,99,510,14493,684,0.0401,5.3485,0.049,0.0826
test,2,144,879,38505,1912,0.2026,33.5852,0.3325,0.1183
test,2,102,851,18569,959,0.0607,8.2647,0.0886,0.0692
test,2,107,988,22161,1105,0.0801,12.6337,0.1406,0.0746
test,2,105,1545,17683,526,0.0497,7.7203,0.048,0.0904
test,2,93,1404,13371,396,0.025,4.5925,0.0282,0.0393
test,2,129,1920,43008,2187,0.3059,45.8159,0.4541,0.114
test,2,85,1029,13611,676,0.036,4.672,0.0499,0.0628
test,2,93,1613,13604,388,0.0264,4.8518,0.0475,0.0689
test,2,147,904,39143,1994,0.249,35.352,0.3934,0.1104
test,2,93,1128,17516,879,0.0607,7.2155,0.1312,0.0357
test,2,126,1373,23121,693,0.0451,11.6973,0.0685,0.0862
test,2,105,541,12582,403,0.0191,3.4139,0.0269,0.0519
test,2,96,624,14783,772,0.0644,5.1372,0.0674,0.031
test,2,134,1433,28498,856,0.0731,20.233,0.1056,0.0974
test,2,90,535,12684,652,0.0314,4.3325,0.047,0.0309
test,2,129,919,29720,1508,0.1326,19.7475,0.1913,0.1047
test,2,126,1577,36125,1797,0.2386,31.708,0.3243,0.1263
test,2,80,635,7357,240,0.0231,1.2538,0.0166,0.043
test,2,123,524,22785,1126,0.0961,11.8139,0.1333,0.0637
test,2,103,1953,17414,518,0.0306,7.2831,0.0417,0.0619
test,2,85,1049,9637,287,0.0153,2.5225,0.03,0.0494
test,2,103,1594,23112,1115,0.1132,14.0652,0.1238,0.0761
test,2,89,923,10898,331,0.0175,3.0491,0.0219,0.0516
test,2,138,1753,45809,2315,0.3244,49.9375,0.4699,0.1012
test,2,150,1484,34585,1070,0.0845,26.5187,0.1515,0.0928
test,2,86,1961,18445,876,0.0643,8.3916,0.1102,0.0435
test,2,141,1192,41156,2013,0.2409,36.0396,0.3275,0.1119
test,2,134,1731,31122,922,0.0718,20.3696,0.1029,0.1024
test,2,85,1265,15820,763,0.0466,5.3589,0.0679,0.0765
test,2,94,1589,14372,441,0.037,4.6352,0.0325,0.0573
test,2,132,1304,26112,821,0.056,14.1739,0.0892,0.083
test,2,131,1930,28003,873,0.0744,20.5071,0.0913,0.0784
test,2,125,574,17761,570,0.0353,7.6379,0.0492,0.0615
test,2,98,1468,14180,424,0.023,5.2503,0.031,0.0541
test,2,127,1772,27929,830,0.1252,18.8166,0.1423,0.1035
test,2,127,1089,21601,660,0.0549,14.3142,0.0767,0.1069
test,2,120,819,17743,552,0.0301,10.7105,0.0422,0.0606
test,2,143,1194,29165,927,0.0718,20.8965,0.1017,0.0564
test,2,101,576,12007,395,0.0183,3.2285,0.0269,0.0487
test,2,98,1738,16894,480,0.0305,8.9842,0.0401,0.0642
test,2,80,1493,14492,783,0.0635,7.0981,0.0882,0.0686
test,2,124,1419,34026,1651,0.1749,31.25,0.231,0.0986
test,2,145,1869,35577,1042,0.0863,33.6233,0.1207,0.1091
