File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0041,2,18,56,8568,8415,0.1943,2.0493,1.9451,0.0338
test0900,2,33,51,26928,26400,0.9421,12.9193,14.501,0.317
test0215,2,19,67,11457,11286,0.3132,2.7188,2.7773,0.0694
test1012,2,30,49,21315,20880,0.6621,9.2033,10.1445,0.1027
test0866,2,31,52,24180,23715,0.9978,10.766,11.8078,0.0975
test1051,2,37,42,27972,27306,0.9183,15.9933,17.7855,0.3234
test0666,2,28,44,16632,16254,0.5492,6.5696,6.9801,0.0886
test1259,2,32,50,24800,24304,0.8354,11.5989,12.9279,0.2686
test0930,2,36,47,29610,28980,1.0403,16.2356,18.6757,0.34
test0307,2,13,100,7800,7722,0.2406,1.2923,1.0876,0.033
test0702,2,29,68,27608,27202,1.1546,11.267,12.5398,0.287
test0349,2,22,43,9933,9702,0.3243,3.6147,3.7711,0.0914
test0550,2,15,72,7560,7455,0.1858,1.3254,1.2881,0.032
test0157,2,19,56,9576,9405,0.2223,2.197,2.351,0.0693
test0671,2,27,56,19656,19305,0.6299,7.1356,7.8772,0.2767
test0233,2,36,40,25200,24570,0.7702,13.8845,17.3632,0.2891
test0920,2,33,55,29040,28512,1.0959,14.264,16.1372,0.3122
test0977,2,30,50,21750,21315,0.7249,9.5841,10.3991,0.2416
test1446,2,33,51,26928,26400,0.9679,13.2688,14.7137,0.3003
test0445,2,22,89,20559,20328,0.8757,6.137,6.3785,0.2323
test0567,2,28,62,23436,23058,1.0554,9.3665,13.9171,0.0847
test0694,2,18,71,10863,10710,0.5205,2.4586,2.5438,0.0541
test0760,2,33,56,29568,29040,1.182,17.6024,19.6536,0.336
test0484,2,29,53,21518,21112,0.7291,9.2989,9.292,0.3039
test1173,2,34,46,25806,25245,0.9168,12.3029,13.5922,0.2861
test1137,2,30,61,26535,26100,1.0681,10.1822,14.4948,0.3883
test1376,2,30,49,21315,20880,0.6918,9.3763,10.1859,0.2523
test0739,2,19,99,16929,16758,0.7027,4.074,4.2557,0.0718
test0335,2,34,46,25806,25245,0.8665,13.3721,14.9707,0.3132
test0945,2,30,44,19140,18705,0.6826,8.3792,9.0934,0.099
test0178,2,11,75,4125,4070,0.0815,0.4213,0.4383,0.0486
test1230,2,33,40,21120,20592,0.7709,10.22,11.6195,0.084
test0490,2,11,88,4840,4785,0.1081,0.5133,0.5354,0.0516
test0377,2,27,44,15444,15093,0.3947,5.7979,6.2465,0.0894
test1255,2,30,54,23490,23055,0.8212,10.3124,11.3631,0.2797
test0591,2,12,58,3828,3762,0.0645,0.4681,0.4916,0.0462
test1415,2,35,48,28560,27965,1.0249,15.3977,17.4706,0.131
test0046,2,13,84,6552,6474,0.3812,0.8639,0.9133,0.0566
test0928,2,32,57,28272,27776,1.081,13.5116,15.0794,0.3374
test1010,2,31,53,24645,24180,0.8568,11.1127,12.1009,0.2721
test0104,2,12,45,2970,2904,0.0396,0.3564,0.3679,0.014
