File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet2235,2,62,5,7265,5153,0.0274,3.1659,3.0364,0.0262
rollernet2458,2,62,5,6584,4516,0.0243,2.6102,2.7467,0.0211
rollernet2531,2,62,4,6252,4230,0.0217,2.5003,2.5269,0.0153
rollernet1781,2,62,6,8364,6015,0.0389,3.7131,3.6072,0.0243
rollernet2875,2,62,4,6047,4090,0.167,2.409,2.407,0.015
rollernet3065,2,62,4,5807,3872,0.0196,2.2168,2.2369,0.0236
rollernet1925,2,62,6,7919,5666,0.0354,3.3667,3.3614,0.1823
rollernet1387,2,62,8,9733,7042,0.0585,4.0028,4.0042,0.1505
rollernet2941,2,62,4,5996,4050,0.021,2.3784,2.5325,0.0142
rollernet2218,2,62,5,7300,5185,0.0276,3.0159,3.0794,0.0242
rollernet1027,2,62,10,11609,8190,0.074,4.5822,3.9404,0.0268
rollernet2712,2,62,4,6144,4172,0.0208,2.6201,2.473,0.0143
rollernet1417,2,62,8,9540,6884,0.0502,3.9124,3.917,0.221
rollernet3483,2,62,3,4987,3076,0.0117,1.5229,1.4901,0.0158
rollernet3406,2,62,3,4981,3074,0.0113,1.5243,1.4902,0.1731
rollernet1601,2,62,7,8937,6472,0.0448,3.6957,3.8285,0.0223
rollernet2925,2,62,4,6011,4061,0.0208,2.3695,2.3844,0.0248
rollernet1099,2,62,10,11231,8010,0.0703,4.5282,3.9987,0.0355
rollernet2697,2,62,4,6148,4172,0.0209,2.601,2.4735,0.0232
rollernet2949,2,62,4,5995,4050,0.0208,2.361,2.5681,0.0245
rollernet2701,2,62,4,6146,4169,0.0213,2.4607,2.4767,0.0266
rollernet1580,2,62,7,9040,6551,0.0447,3.7604,3.7841,0.1797
rollernet1977,2,62,6,7638,5444,0.034,3.2475,3.3959,0.0265
rollernet3507,2,62,3,4993,3085,0.0114,1.5217,1.531,0.0198
rollernet1249,2,62,8,10075,7054,0.0542,3.8317,3.7696,0.2029
rollernet3198,2,62,4,5515,3579,0.0183,2.0402,2.1163,0.0185
rollernet2597,2,62,4,6226,4228,0.022,2.5059,2.5158,0.0158
rollernet1817,2,62,6,8303,5969,0.0358,3.5384,3.6092,0.1892
rollernet3498,2,62,3,4991,3082,0.0118,1.5242,1.5117,0.0164
rollernet1302,2,62,8,10039,7163,0.0564,4.0966,3.944,0.0318
rollernet3429,2,62,3,4985,3078,0.0114,1.6181,1.4933,0.0191
rollernet1626,2,62,7,8763,6318,0.0449,3.6202,3.8172,0.0229
rollernet3467,2,62,3,4988,3078,0.0112,1.519,1.4955,0.0147
rollernet2311,2,62,5,7093,4990,0.0262,2.8795,2.9199,0.1762
rollernet2393,2,62,5,6874,4788,0.0258,2.7564,2.8948,0.0189
rollernet1404,2,62,8,9630,6948,0.0551,3.9575,3.9494,0.0285
rollernet1153,2,62,9,10914,7855,0.0674,6.165,4.3347,0.0328
rollernet2384,2,62,5,6898,4809,0.0261,2.7782,2.8603,0.0174
rollernet3093,2,62,4,5771,3838,0.0193,2.2249,2.2098,0.2423
rollernet1629,2,62,7,8761,6314,0.0439,3.6359,3.8244,0.0279
rollernet2194,2,62,5,7326,5206,0.0275,3.0313,3.0878,0.0269
rollernet2615,2,62,4,6211,4223,0.0213,2.6896,2.5079,0.0157
rollernet1218,2,62,9,10517,7514,0.2182,4.1313,4.0249,0.0298
rollernet3147,2,62,4,5643,3715,0.0193,2.1301,2.1154,0.0155
rollernet2890,2,62,4,6040,4087,0.0207,2.5435,2.4076,0.0231
rollernet1896,2,62,6,7999,5705,0.1519,3.3977,3.3527,0.0268
rollernet3027,2,62,4,5881,3937,0.0202,2.2976,2.2985,0.0199
rollernet3353,2,62,3,4980,3072,0.0113,1.5258,1.4978,0.1637
rollernet2717,2,62,4,6143,4173,0.0217,2.5008,2.4882,0.0147
rollernet1981,2,62,6,7604,5413,0.0337,3.352,3.2274,0.026
rollernet2821,2,62,4,6079,4118,0.0212,2.4247,2.5722,0.0215
rollernet2682,2,62,4,6161,4184,0.0208,2.4721,2.4787,0.0221
rollernet2463,2,62,5,6554,4488,0.0232,2.5779,2.5708,0.1852
rollernet1935,2,62,6,7843,5601,0.0373,3.3023,3.4446,0.0189
rollernet3570,2,62,3,4995,3088,0.0114,1.5369,1.5194,0.0147
rollernet1054,2,62,10,11362,7883,0.0696,4.1668,3.7112,0.1976
rollernet2910,2,62,4,6024,4075,0.0213,2.392,2.5245,0.0229
rollernet1323,2,62,8,10039,7248,0.0565,4.0749,4.2136,0.0267
rollernet3249,2,62,4,5328,3400,0.0178,1.8993,1.8586,0.0179
rollernet2695,2,62,4,6150,4174,0.0207,2.4707,2.6555,0.0248
rollernet2203,2,62,5,7309,5190,0.0274,3.0184,3.0761,0.0201
rollernet2290,2,62,5,7140,5028,0.0275,3.0483,2.9344,0.0177
rollernet3013,2,62,4,5901,3951,0.0208,2.2819,2.4501,0.0196
rollernet3297,2,62,4,5202,3283,0.0167,1.7913,1.7637,0.0209
rollernet2184,2,62,5,7339,5213,0.1686,3.0213,3.0845,0.0235
rollernet2047,2,62,5,7376,5213,0.0275,2.9507,3.0166,0.0228
rollernet2453,2,62,5,6594,4523,0.0243,2.7251,2.6041,0.0149
rollernet2939,2,62,4,5998,4052,0.0211,2.362,2.5115,0.0215
rollernet2914,2,62,4,6020,4070,0.0213,2.3776,2.3951,0.0213
rollernet1511,2,62,7,9252,6661,0.0459,3.7367,3.77,0.1828
rollernet3129,2,62,4,5688,3759,0.0189,2.1606,2.2715,0.0209
rollernet3233,2,62,4,5377,3444,0.0179,1.9378,1.9031,0.0141
