File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
rollernet2845,2,62,4,6063,246,4105,58,60,61,60
rollernet2165,2,62,5,7330,307,5195,61,61,60,61
rollernet3041,2,62,4,5856,245,3913,57,59,60,59
rollernet1920,2,62,6,7958,367,5707,81,90,89,84
rollernet1363,2,62,8,9917,486,7213,107,116,117,122
rollernet1654,2,62,7,8571,423,6160,88,90,92,91
rollernet2382,2,62,5,6908,306,4818,61,61,61,73
rollernet3006,2,62,4,5914,245,3965,58,59,61,60
rollernet3144,2,62,4,5653,244,3725,56,59,60,59
rollernet2009,2,62,5,7395,307,5235,61,61,61,72
rollernet2135,2,62,5,7329,307,5181,61,61,61,61
rollernet3113,2,62,4,5724,244,3793,56,60,60,58
rollernet2192,2,62,5,7327,307,5206,61,61,61,61
rollernet1954,2,62,6,7755,365,5540,80,89,88,78
rollernet3581,2,62,3,4996,185,3090,31,30,31,31
rollernet1495,2,62,7,9288,429,6679,88,91,91,108
rollernet1768,2,62,6,8398,369,6056,77,90,90,81
rollernet2686,2,62,4,6156,246,4180,57,59,59,47
rollernet2312,2,62,5,7092,306,4989,61,60,61,69
rollernet1111,2,62,9,11021,549,7848,113,121,120,125
rollernet2995,2,62,4,5929,245,3979,58,59,61,60
rollernet2603,2,62,4,6224,246,4230,58,60,61,50
rollernet2924,2,62,4,6011,245,4061,58,60,61,59
rollernet2223,2,62,5,7285,307,5170,61,61,61,62
rollernet2345,2,62,5,7006,306,4907,61,61,61,69
rollernet1651,2,62,7,8620,424,6204,88,90,92,100
rollernet3414,2,62,3,4981,185,3074,31,30,31,31
rollernet2341,2,62,5,7023,306,4925,61,61,61,69
rollernet3515,2,62,3,4993,185,3085,31,30,31,31
rollernet1910,2,62,6,7965,367,5699,81,90,89,80
rollernet2214,2,62,5,7304,307,5188,61,61,61,62
rollernet3540,2,62,3,4995,185,3087,31,30,31,31
rollernet1136,2,62,9,11003,548,7918,116,118,121,136
rollernet1909,2,62,6,7969,367,5701,81,90,89,80
rollernet3287,2,62,4,5243,242,3322,56,58,57,56
