File,Gamma,dec,time_list_pos_m,decTotal,varDEC
gen_enron,198,0.0,0.0001,0.0002,0.1169
gen_enron,199,0.0,0.0001,0.0002,0.1163
gen_enron,200,0.0,0.0001,0.0002,0.1157
gen_enron,201,0.0,0.0001,0.0002,0.1152
gen_enron,202,0.0,0.0001,0.0002,0.1146
gen_enron,203,0.0,0.0001,0.0002,0.114
gen_enron,204,0.0,0.0001,0.0002,0.1135
gen_enron,205,0.0,0.0001,0.0002,0.1129
gen_enron,206,0.0,0.0001,0.0002,0.1123
gen_enron,207,0.0,0.0001,0.0002,0.1118
gen_enron,208,0.0,0.0001,0.0002,0.1113
gen_enron,209,0.0,0.0001,0.0002,0.1107
gen_enron,210,0.0,0.0001,0.0002,0.1102
gen_enron,211,0.0,0.0001,0.0002,0.1097
gen_enron,212,0.0,0.0001,0.0002,0.1092
gen_enron,213,0.0,0.0001,0.0002,0.1086
gen_enron,214,0.0,0.0001,0.0002,0.1081
gen_enron,215,0.0,0.0001,0.0002,0.1076
gen_enron,216,0.0,0.0001,0.0002,0.1071
gen_enron,217,0.0,0.0001,0.0002,0.1066
gen_enron,218,0.0,0.0001,0.0002,0.1061
gen_enron,219,0.0,0.0001,0.0002,0.1056
gen_enron,220,0.0,0.0001,0.0002,0.1052
gen_enron,221,0.0,0.0001,0.0002,0.1047
gen_enron,222,0.0,0.0001,0.0002,0.1042
gen_enron,223,0.0,0.0001,0.0002,0.1037
gen_enron,224,0.0,0.0001,0.0002,0.1033
gen_enron,225,0.0,0.0001,0.0002,0.1028
gen_enron,226,0.0,0.0001,0.0002,0.1024
gen_enron,227,0.0,0.0001,0.0002,0.1019
gen_enron,228,0.0,0.0001,0.0002,0.1015
gen_enron,229,0.0,0.0001,0.0002,0.101
gen_enron,230,0.0,0.0001,0.0002,0.1006
gen_enron,231,0.0,0.0001,0.0002,0.1001
gen_enron,232,0.0,0.0001,0.0002,0.0997
gen_enron,233,0.0,0.0001,0.0002,0.0993
gen_enron,234,0.0,0.0001,0.0002,0.0988
gen_enron,235,0.0,0.0001,0.0002,0.0984
gen_enron,236,0.0,0.0001,0.0001,0.098
gen_enron,237,0.0,0.0001,0.0001,0.0976
gen_enron,238,0.0,0.0001,0.0001,0.0972
gen_enron,239,0.0,0.0001,0.0001,0.0968
gen_enron,240,0.0,0.0001,0.0001,0.0964
gen_enron,241,0.0,0.0001,0.0001,0.096
gen_enron,242,0.0,0.0001,0.0001,0.0956
gen_enron,243,0.0,0.0001,0.0001,0.0952
gen_enron,244,0.0,0.0001,0.0001,0.0948
gen_enron,245,0.0,0.0001,0.0001,0.0944
gen_enron,246,0.0,0.0001,0.0001,0.094
gen_enron,247,0.0,0.0001,0.0001,0.0936
gen_enron,248,0.0,0.0001,0.0001,0.0932
gen_enron,249,0.0,0.0001,0.0001,0.0929
gen_enron,250,0.0,0.0001,0.0001,0.0925
gen_enron,251,0.0,0.0001,0.0001,0.0921
gen_enron,252,0.0,0.0001,0.0001,0.0918
gen_enron,253,0.0,0.0001,0.0001,0.0914
gen_enron,254,0.0,0.0001,0.0001,0.091
gen_enron,255,0.0,0.0001,0.0001,0.0907
gen_enron,256,0.0,0.0001,0.0001,0.0903
gen_enron,257,0.0,0.0001,0.0001,0.09
gen_enron,258,0.0,0.0001,0.0001,0.0896
gen_enron,259,0.0,0.0001,0.0001,0.0893
gen_enron,260,0.0,0.0001,0.0001,0.0889
gen_enron,261,0.0,0.0001,0.0001,0.0886
gen_enron,262,0.0,0.0001,0.0001,0.0882
gen_enron,263,0.0,0.0001,0.0001,0.0879
gen_enron,264,0.0,0.0001,0.0001,0.0876
gen_enron,265,0.0,0.0001,0.0001,0.0872
gen_enron,266,0.0,0.0001,0.0001,0.0869
gen_enron,267,0.0,0.0001,0.0001,0.0866
gen_enron,268,0.0,0.0001,0.0001,0.0863
gen_enron,269,0.0,0.0001,0.0001,0.0859
gen_enron,270,0.0,0.0001,0.0001,0.0856
gen_enron,271,0.0,0.0001,0.0001,0.0853
gen_enron,272,0.0,0.0001,0.0001,0.085
gen_enron,273,0.0,0.0001,0.0001,0.0847
gen_enron,274,0.0,0.0001,0.0001,0.0844
