File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet785,2,62,13,13655,9472,0.127,6.7377,5.5041,0.0406
rollernet260,2,62,39,24154,14033,0.7486,11.0811,5.0439,0.5921
rollernet642,2,62,16,15202,10229,0.5309,7.4672,5.6352,0.0889
rollernet445,2,62,23,18551,11812,0.4223,8.6864,6.7953,0.1013
rollernet408,2,62,25,19397,12160,0.4338,7.8141,8.5012,0.5169
rollernet22,2,62,454,68076,31895,8.9802,76.8724,5.3038,0.4785
rollernet709,2,62,15,14383,9817,0.1261,6.1017,4.7862,0.0621
rollernet645,2,62,16,15110,10121,0.1283,5.7147,4.2113,0.066
rollernet92,2,62,109,37616,19531,1.3807,15.1528,2.7232,0.126
rollernet413,2,62,25,19222,12075,0.2253,6.1001,4.0855,0.3447
rollernet131,2,62,77,32336,16939,0.864,11.635,2.7349,0.3573
rollernet729,2,62,14,14130,9556,0.4133,4.9821,4.1819,0.0705
rollernet420,2,62,24,19106,12071,0.2309,6.5204,5.0368,0.1007
rollernet279,2,62,36,23157,13418,0.3497,7.5356,3.4607,0.3526
rollernet168,2,62,60,28952,15371,0.6399,9.7241,2.7682,0.367
rollernet685,2,62,15,14745,10061,0.3867,5.3444,5.3989,0.0728
rollernet44,2,62,227,52160,27677,3.8518,31.1981,5.7363,0.1729
rollernet511,2,62,20,17154,11046,0.1978,6.8446,4.3817,0.0435
rollernet199,2,62,51,27008,14826,0.7319,9.9113,3.3887,0.1013
rollernet924,2,62,11,12139,8353,0.0805,4.8931,4.642,0.0366
rollernet43,2,62,233,52721,27929,4.6602,32.0748,6.3792,0.3689
rollernet995,2,62,11,11855,8464,0.2214,7.4414,5.5597,0.6224
rollernet467,2,62,22,18130,11698,0.2762,6.9894,7.8518,0.0559
rollernet534,2,62,19,16766,10977,0.1731,8.9638,4.6788,0.3337
rollernet548,2,62,19,16792,11119,0.5273,10.619,6.7011,0.0753
rollernet652,2,62,16,15039,10082,0.1566,6.8066,5.9869,0.0768
rollernet903,2,62,12,12332,8476,0.0894,4.9678,5.0942,0.0686
rollernet622,2,62,17,15361,10239,0.2125,7.6361,6.1733,0.3928
rollernet151,2,62,67,30323,15927,0.9116,11.7737,2.9013,0.3145
rollernet162,2,62,62,29383,15458,0.6845,10.7426,2.9872,0.3649
rollernet122,2,62,82,33240,17202,1.0162,13.4439,4.5942,0.1118
rollernet249,2,62,41,24261,13724,0.4506,10.06,4.9426,0.36
rollernet532,2,62,19,16816,11011,0.2222,8.9693,7.2245,0.094
rollernet302,2,62,34,22362,13265,0.7513,9.4645,4.9407,0.7018
rollernet270,2,62,37,23482,13576,0.4013,12.1446,3.958,0.3863
rollernet457,2,62,22,18243,11671,0.2283,6.4708,4.5265,0.3931
rollernet804,2,62,13,13345,9107,0.1173,5.6738,5.0655,0.0653
rollernet50,2,62,200,49390,26178,3.4467,30.3529,3.6526,0.3621
rollernet763,2,62,14,13791,9497,0.1259,5.5675,6.6024,0.4111
rollernet977,2,62,11,12054,8564,0.0928,7.2773,6.6404,0.0859
rollernet271,2,62,37,23476,13566,0.4079,13.3876,3.828,0.31
rollernet407,2,62,25,19474,12247,0.2825,6.9756,8.3629,0.3654
rollernet471,2,62,22,18033,11611,0.2081,6.9486,4.4796,0.3438
rollernet926,2,62,11,12132,8352,0.0928,5.0777,4.7803,0.0678
rollernet258,2,62,39,24076,13860,0.4252,8.1657,3.6989,0.3175
rollernet5,2,62,1996,127401,72484,86.4434,263.7657,49.3792,0.5877
rollernet743,2,62,14,14018,9564,0.1112,4.7912,4.5873,0.0703
rollernet536,2,62,19,16751,10976,0.16,5.359,4.0903,0.057
rollernet557,2,62,18,16446,10826,0.3248,6.0334,4.1921,0.044
rollernet938,2,62,11,12143,8443,0.0761,4.5166,4.0709,0.2725
rollernet227,2,62,44,25567,14361,0.5926,8.4143,3.1653,0.0914
rollernet224,2,62,45,25439,14070,0.4461,8.0793,3.0088,0.3299
rollernet105,2,62,96,35505,18387,1.1549,13.9112,2.6684,0.0882
