File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
enron9960000,2,150,10,3143,854,1410,125,133,134,151
enron5450000,2,150,19,3980,1384,1983,195,209,207,220
enron7540000,2,150,14,3449,1078,1592,153,168,162,179
enron4340000,2,150,23,4365,1663,2201,229,242,249,266
enron9010000,2,150,11,3207,919,1450,132,140,142,147
enron5360000,2,150,19,4081,1444,2039,198,220,216,237
enron400000,2,150,246,11361,9252,4856,972,1031,1024,1164
enron7700000,2,150,13,3463,1058,1622,155,166,164,176
enron2040000,2,150,49,6138,3044,3182,400,432,425,474
enron7650000,2,150,13,3452,1061,1613,151,169,165,172
enron8470000,2,150,12,3367,1000,1571,145,154,157,159
enron8810000,2,150,12,3302,939,1549,135,144,147,158
enron5140000,2,150,20,4055,1448,2000,207,217,216,243
enron5220000,2,150,19,4063,1452,1989,202,212,211,234
enron170000,2,150,579,14093,13752,4224,1225,1292,1290,1401
enron6810000,2,150,15,3636,1162,1748,158,180,176,185
enron6780000,2,150,15,3629,1168,1740,161,178,176,183
enron3050000,2,150,33,5187,2223,2699,296,322,318,362
enron9490000,2,150,11,3213,926,1460,130,141,140,145
enron20000,2,150,4914,19112,24753,2632,1341,1368,1368,1294
enron4120000,2,150,24,4528,1775,2315,235,265,265,279
enron1080000,2,150,91,7990,4866,4066,600,632,628,704
enron4970000,2,150,20,4226,1510,2154,201,222,221,253
