File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron4360000,2,150,23,4381,2215,0.0342,0.3714,0.1967,0.0142
enron2660000,2,150,37,5447,2808,0.0612,0.4625,0.2156,0.018
enron110000,2,150,894,15398,4273,0.4388,4.2798,0.3427,0.048
enron4550000,2,150,22,4316,2155,0.033,0.3449,0.1875,0.0313
enron7460000,2,150,14,3465,1602,0.0176,0.2637,0.1566,0.0115
enron1610000,2,150,62,6730,3433,0.1022,0.6043,0.2196,0.0231
enron8630000,2,150,12,3346,1577,0.017,0.2674,0.1922,0.0091
enron1290000,2,150,77,7454,3814,0.1288,0.7198,0.2396,0.0233
enron1520000,2,150,65,6924,3491,0.1304,0.649,0.2225,0.0224
enron5580000,2,150,18,3976,1969,0.0265,0.3169,0.1859,0.0119
enron6720000,2,150,15,3634,1737,0.0205,0.2763,0.164,0.0098
enron6710000,2,150,15,3631,1732,0.0222,0.2778,0.1669,0.0099
enron9570000,2,150,11,3213,1471,0.0171,0.2462,0.1805,0.0086
enron4520000,2,150,22,4355,2178,0.0327,0.3497,0.1935,0.0153
enron1930000,2,150,51,6210,3134,0.0851,0.5459,0.2057,0.0208
enron5660000,2,150,18,3938,1922,0.0255,0.314,0.2071,0.0108
enron9860000,2,150,10,3149,1426,0.0135,0.2392,0.1493,0.0085
enron8530000,2,150,12,3356,1570,0.0177,0.2602,0.1607,0.0088
enron6880000,2,150,15,3626,1751,0.0207,0.2811,0.1696,0.0123
enron1100000,2,150,90,7853,3917,0.1709,0.7869,0.2339,0.0262
enron5950000,2,150,17,3883,1933,0.0249,0.3115,0.1865,0.0106
enron510000,2,150,193,10536,4867,0.28,1.38,0.2743,0.0578
enron1690000,2,150,59,6593,3356,0.0994,0.5913,0.2165,0.0222
enron1830000,2,150,54,6412,3320,0.0913,0.5982,0.2235,0.0199
enron9230000,2,150,11,3171,1393,0.0142,0.2336,0.1405,0.0086
enron7640000,2,150,13,3462,1624,0.0179,0.2696,0.1648,0.0091
enron1500000,2,150,66,6893,3455,0.1077,0.6342,0.2141,0.0552
enron5390000,2,150,19,4064,2045,0.0286,0.3258,0.194,0.0125
enron550000,2,150,179,10277,4790,0.2645,1.3103,0.2698,0.0615
enron5590000,2,150,18,3966,1946,0.0262,0.3149,0.1808,0.0123
enron7240000,2,150,14,3552,1689,0.0186,0.2772,0.1677,0.0095
enron2100000,2,150,47,6043,3112,0.0792,0.5615,0.2175,0.0186
enron6970000,2,150,15,3610,1729,0.0204,0.2758,0.1662,0.0123
enron1410000,2,150,70,7170,3672,0.1193,0.6683,0.2587,0.0235
enron7370000,2,150,14,3473,1604,0.0173,0.2597,0.1503,0.0093
enron3500000,2,150,29,4799,2427,0.0428,0.3904,0.1982,0.0169
enron3690000,2,150,27,4714,2383,0.0389,0.3831,0.1993,0.0146
enron4320000,2,150,23,4432,2256,0.0353,0.3868,0.198,0.0157
enron1770000,2,150,56,6484,3355,0.0969,0.5742,0.2222,0.02
enron9110000,2,150,11,3177,1414,0.0142,0.237,0.1466,0.0085
enron9890000,2,150,10,3160,1436,0.016,0.242,0.1511,0.037
enron3180000,2,150,31,5097,2640,0.0498,0.4295,0.2155,0.0175
enron9750000,2,150,11,3136,1405,0.0144,0.2329,0.1423,0.0087
enron9430000,2,150,11,3201,1434,0.0143,0.2389,0.1492,0.0121
enron5430000,2,150,19,3996,1994,0.0276,0.3165,0.2214,0.014
enron730000,2,150,135,9272,4508,0.2188,1.0719,0.2615,0.0318
enron2910000,2,150,34,5264,2732,0.057,0.4417,0.2107,0.0423
enron4220000,2,150,24,4471,2264,0.0359,0.3702,0.2033,0.014
enron1760000,2,150,56,6547,3389,0.0946,0.5876,0.2563,0.0216
enron8410000,2,150,12,3358,1555,0.0165,0.258,0.1576,0.0118
enron1880000,2,150,53,6303,3219,0.0895,0.5515,0.2123,0.0207
enron4180000,2,150,24,4494,2291,0.037,0.3779,0.2025,0.0153
enron410000,2,150,240,11275,4847,0.3057,1.629,0.2719,0.0376
