File,Gamma,DC
test0443,2,133
test1366,2,390
test1140,2,281
test0315,2,356
test0425,2,139
test0354,2,261
test0446,2,375
test0344,2,28
test0917,2,348
test0013,2,1238
test1413,2,42
test0691,2,28
test0697,2,137
test0017,2,306
test0789,2,443
test0161,2,660
test0776,2,491
test0103,2,43
test0432,2,522
test0927,2,86
test0172,2,15
test0173,2,466
test1306,2,520
test0372,2,312
test1254,2,176
test0540,2,934
test0129,2,17
test0762,2,333
test0292,2,211
test0888,2,789
test0553,2,237
test0312,2,641
test0611,2,590
test1057,2,58
test0154,2,832
test0242,2,556
test0632,2,39
test0969,2,13
test0259,2,247
test0880,2,206
test0689,2,23
test0239,2,370
test0205,2,201
test0911,2,417
test0764,2,39
test1013,2,370
test1188,2,989
test0431,2,246
test0218,2,450
test0138,2,885
test0580,2,303
test0710,2,236
test0367,2,383
test1247,2,396
test0756,2,321
test1196,2,220
test0872,2,1017
test0168,2,458
test1420,2,855
test0757,2,566
test0505,2,691
test0001,2,17
test0116,2,422
test1059,2,171
test1364,2,233
test0499,2,526
test0669,2,450
test0722,2,638
test0703,2,391
test0426,2,17
test0522,2,69
test1034,2,471
test1463,2,397
test0564,2,116
test0472,2,151
test0345,2,32
test0971,2,470
test1451,2,664
test0300,2,850
test0427,2,11
test1293,2,628
test1392,2,599
test0797,2,361
test0763,2,496
test0571,2,38
test0221,2,973
test0758,2,446
test0620,2,736
test1046,2,44
test0721,2,114
test0871,2,826
test0018,2,141
test1007,2,27
test1236,2,556
test0806,2,897
test0267,2,33
test1023,2,177
test0219,2,326
test0397,2,1135
test1008,2,598
test0415,2,248
test0356,2,205
test1261,2,928
test0678,2,435
test1121,2,105
test0077,2,16
test1031,2,97
test1077,2,18
test0007,2,478
test0829,2,718
test1118,2,400
test0041,2,373
test0900,2,848
test0215,2,117
test1012,2,25
test0866,2,275
test1051,2,61
test0666,2,143
test1259,2,205
test0930,2,30
test0307,2,345
test0702,2,568
test0349,2,261
test0550,2,100
test0157,2,332
test0671,2,666
test0233,2,31
test0920,2,847
test0977,2,331
test1446,2,614
test0445,2,75
test0567,2,567
test0694,2,203
test0760,2,293
test0484,2,232
test1173,2,218
test1137,2,968
test1376,2,596
test0739,2,49
test0335,2,645
test0945,2,115
test0178,2,186
test1230,2,441
test0490,2,350
test0377,2,261
test1255,2,655
test0591,2,243
test1415,2,573
test0046,2,109
test0928,2,22
test1010,2,87
test0104,2,228
test0394,2,783
test0869,2,77
test0712,2,95
test0541,2,483
test1092,2,780
test0228,2,434
test1337,2,94
test0681,2,340
test0175,2,93
test0080,2,250
test0593,2,120
test0488,2,271
test0318,2,591
test1374,2,515
test1091,2,195
test0369,2,389
test0430,2,56
test0747,2,265
test0459,2,1208
test0033,2,90
test0313,2,310
test1061,2,825
test0873,2,669
test0184,2,61
test0326,2,611
test1352,2,314
test1287,2,155
test0458,2,220
test0660,2,905
test0699,2,253
test0006,2,45
test0767,2,604
test0282,2,802
test0754,2,117
test0362,2,390
test0934,2,40
test0876,2,103
test0599,2,1028
